DNI;Nombre;Apellido1;Apellido2;Direccion;Poblado;Correo;Telefono;FechaNacimiento;TipoCarnet;FechaCarnet
85549822B;Jillian;Izquierdo;Solis;Paseo de los alamos, N 144, 15766;Prados del Nabar;Jillina@servcorreo.uctreseme.edu;555241288;2022-22-22;B;2022-22-22
87767956W;Tino;Buitron;Mora;Paseo Perez-Reverte, N 83, 87010;Sotosequillo de los Caballeros;TBuitron@servcorreo.uctreseme.edu;555046151;9-09-09;B;9-09-09
80498155H;Violeta;Belleza;Suarez;Calle Pescadores, N 75, 24962;Villasequillo de la Costa;Pecosa@servcorreo.uctreseme.edu;555059016;8-08-08;B;8-08-08
43287231N;Ricardo;Poma;Morriberon;Travesia del Pinar, N 79, 29926;Valtejas de los Sequillos;Morriberon@servcorreo.uctreseme.edu;555958354;2017-17-17;B;2017-17-17
48192930H;Maria de la Fuencisla;Murrugarra;Regalado;Travesia del Clavel, N 62, 37340;Ciudad de las Aguas;Regalado@servcorreo.uctreseme.edu;555210406;2024-24-24;C;2024-24-24
12028211Q;Alejandro;Ruiz;Allauca;Avenida del Clavel, N 103, 27144;Villaverde de los Ciervos;RAllauca@servcorreo.uctreseme.edu;555070624;2017-17-17;B;2017-17-17
76150280V;Maria de la Prosperidad;Jimenez;Melendez;Paseo San Cucufato, N 108, 12261;Villalemures de la Costa;Meli@servcorreo.uctreseme.edu;555806228;8-08-08;B;8-08-08
76055771S;Estibaliz;Zavaleta;Gomez;Travesia Asimov, N 7, 77859;Valnieblas de la Noceda;Gomi@servcorreo.uctreseme.edu;555063833;2019-19-19;B;2019-19-19
74086301N;Francisca Ainhoa;Burgos;Rivero;Paseo Miguel Delibes, N 88, 27253;Villaconejos de los Buhos;Rivero@servcorreo.uctreseme.edu;555321053;2024-24-24;C;2024-24-24
00699099Z;Perancejo;Torres;Garate;Calle San Cucufato, N 158, 43123;Villamodorros del Torreon;None;555956249;1925-25-25;B;1925-25-25
60260601A;Gerda;Bendezu;Vilca;Plaza San Cucufato, N 75, 66926;Villavacas;None;None;2018-18-18;B;2018-18-18
09611341D;Silvia Lidia;Martinez;Bonilla;Calle Hidalgos, N 23, 64050;Villalluvias de los Viajeros;SLidia@servcorreo.uctreseme.edu;555425926;2017-17-17;B;2017-17-17
13633650D;Jaime;Marca;Azcarate;Calle San Juan de la Cruz, N 114, 93020;Villanieblas del Secano;Marca@servcorreo.uctreseme.edu;555744036;2017-17-17;C;2017-17-17
97045896H;Felipe;Sanroman;Garcia;Plaza de la Dalia, N 49, 88697;Huertas de San Guijuelo;Finit@servcorreo.uctreseme.edu;None;1927-27-27;C;1927-27-27
22764409K;Pascual;Mego;Gomez;Paseo de los Tulipanes, N 98, 65387;Praderas de las Setas;Pasci@servcorreo.uctreseme.edu;555429855;1928-28-28;D1;1928-28-28
12519376Q;Eva Jimena;Rivera;Camarena;Avenida San Juan de la Cruz, N 5, 57688;Monte del Vertedero;Jimi@servcorreo.uctreseme.edu;555074741;2024-24-24;B;2024-24-24
31970465M;Marivi;Higa;Ibarra;Travesia Real, N 112, 85027;Valsequillo;None;555390700;2020-20-20;B;2020-20-20
56938622Y;Maria de las Angustias;Clavijo;Jimenez;Plaza Miguel Hernandez, N 78, 96511;Monte de Arriba;Jimenez@servcorreo.uctreseme.edu;None;1926-26-26;C;1926-26-26
88062522F;Fernando;Inga;San_Frutos;Avenida de la Catedral, N 48, 19083;Villaarbustos;None;555170600;1927-27-27;B;1927-27-27
90553454Q;Maria de los angeles;Paraguay;Pinas;Paseo Lecheros, N 120, 16856;Hayedo del Jamon;MParaguay@servcorreo.uctreseme.edu;555046665;2021-21-21;C1;2021-21-21
21763956E;Bernaldo;Monzon;Aquino;Avenida de los Toros, N 83, 53502;San Pedro de la Noceda;Buho@servcorreo.uctreseme.edu;555005069;2023-23-23;C1;2023-23-23
04295516J;Rosa Aranzazu;Olivas;Llap;Calle San Jose, N 8, 44802;Villaguijarros de la Solana;None;555403211;2012-12-12;B;2012-12-12
24230709W;Maria Azucena;Buendia;Lopez;Paseo Pescadores, N 198, 59582;Valtopos de la Costa;Buendiña@servcorreo.uctreseme.edu;555621295;1928-28-28;C;1928-28-28
33344237X;Rosa Olimpia;Hernandez;Navarro;Avenida Estiradores, N 16, 88386;Villanieblas;Olimpika@servcorreo.uctreseme.edu;555074075;2023-23-23;B;2023-23-23
25073532J;Barbara;Laque;Hernandez;Plaza Murillo, N 158, 66926;Villavacas;None;555497149;2011-11-11;B;2011-11-11
06729275G;Roque;Orellana;Lopez;Avenida Quevedo, N 65, 40524;Villalluvias de la Arboleda;ROrellana@servcorreo.uctreseme.edu;None;1-01-01;B;1-01-01
60908146Y;Ramon Carlos;Hernandez;Cangalaya;Paseo de los Jacintos, N 11, 29575;Huertas del Nabar;None;None;1930-30-30;D;1930-30-30
67121154R;Maria de la Visitacion;Salas;Rivera;Calle de los Pensamientos, N 95, 95927;Valtrigos de las Tripas;MRivera@servcorreo.uctreseme.edu;555586361;1929-29-29;B;1929-29-29
72449035R;Oscar;Bazalar;Lopez;Avenida de la Felicidad, N 142, 34894;Sotosolana de las Ardillas;Torpe@servcorreo.uctreseme.edu;555667542;2024-24-24;B;2024-24-24
35235590G;Berno;Jimenez;Galarza;Avenida Cazadores, N 10, 45996;Valtejas;Galarza@servcorreo.uctreseme.edu;None;2024-24-24;B;2024-24-24
74864863R;Rosa Judith;Montenegro;Bazalar;Paseo Chesterton, N 85, 27031;Sotoguijarros de Enmedio;JBazalar@servcorreo.uctreseme.edu;None;1928-28-28;B;1928-28-28
42349732Q;Maria del Sol;Bazalar;Angulo;Travesia Murillo, N 107, 48440;Valfrios;None;None;6-06-06;B;6-06-06
86515357Y;Africano;Fritsch;Barba;Calle del Terciopelo, N 71, 12605;Villacantos de la Alameda;Afrito@servcorreo.uctreseme.edu;555895041;2019-19-19;D;2019-19-19
31211842Z;Jose Felix;Garcia;Denegri;Plaza de los Pensamientos, N 171, 49851;Prados del Robledal;None;None;2021-21-21;B;2021-21-21
38423370F;Romulo;Denia;Chocano;Plaza del Zoco Chico, N 185, 86530;Valmodorros;Romi@servcorreo.uctreseme.edu;555490339;1927-27-27;D;1927-27-27
01362850P;Jose Jorge;Mogollon;Aldabe;Paseo Cervantes, N 80, 98803;Villaenmedio de la Torre;None;None;1931-31-31;C;1931-31-31
44637269L;Consolacion;Gomez;Vega;Paseo Pastores, N 46, 54549;San Jose del Torreon;None;None;1927-27-27;D1;1927-27-27
